index,collection,type,bilingual_multilingual,family_id,publication_id,url,title,subtitle,full_title,authors,publication_date,edition,publisher,volume,issue,series,series_number,publication_place,pages,isbn,issn,doi,formats,original_book_ids,original_languages,translated_languages,publication_languages,translators,editors,foreword_authors,afterword_authors,illustrators,read_link,publisher_link,buy_link,other_link_description,other_link,cover,gallery,notes
16,translations,translated_anthology,FALSE,provincia,provincia,translations/provincia,La Provincia Oscura,,La Provincia Oscura,Narlan Matos,2016,,Edizioni Fili d'Aquilone,,,I Fili,,"Rome, Italy",138,978-88-97490-17-3,,,,,Portuguese,Italian,,,,,,,https://www.efilidaquilone.it/fili_16_la_provincia_oscura_anteprima.pdf,https://www.efilidaquilone.it/Scheda_Fili_16.pdf,https://www.ibs.it/provincia-oscura-testo-portoghese-a-libro-narlan-matos/e/9788897490173,,,/assets/images/translations/provincia.jpg,,
17,translations,bilingual_edition,TRUE,antologia,antologia,translations/antologia,Antología Poética Bilingüe,,Antología Poética Bilingüe,Narlan Matos,2017,,Editorial Maolí,,,,,,180,978-8494492433,,,,senhoras; acampamento; elegia,Portuguese,Spanish,,José Ángel García Caballero,,,,Juan Carlos Mestre,,,https://www.amazon.com/gp/product/8494492438,,,/assets/images/translations/antologia.jpg,/assets/images/translations/antologia-back.jpg,also contains unpublished poems
18,translations,translated_book,FALSE,elegia,elegia-es,translations/elegia-es,Elegía al Nuevo Mundo,,Elegía al Nuevo Mundo y Otros Poemas,Narlan Matos,2017,Spanish Edition,Casa de Poesía,,,,,"San José, Costa Rica",86,978-9930-550-12-0,,,,elegia,Portuguese,Spanish,,Rafael Antúnez,,,,,,,,,,/assets/images/translations/elegia-es.jpg,,
19,translations,translated_anthology,FALSE,duet,duet-es,translations/duet-es,Dueto de Puntos,Poetas de Occidente-Oriente en Solidaridad: Dialogo Poético,Dueto de Puntos: Poetas de Occidente-Oriente en Solidaridad: Dialogo Poético,Narlan Matos; Maki Starfield,2020,Spanish Edition,JUNPA Books,,,,,,91,978-1071565483,,,eBook,,Portuguese; Japanese,Spanish,,Hadit Montero,Mariko Sumikura,,,James Spitzer,https://www.amazon.com/Dueto-puntos-Occidente-Oriente-Solidaridad-Dialogo-ebook/dp/B08K9G45B9/ref=sr_1_5,,https://www.amazon.com/Dueto-puntos-Occidente-Oriente-Solidaridad-Dialogo-ebook/dp/B08K9G45B9/ref=sr_1_5,,,/assets/images/translations/duet-es.jpg,,
20,translations,translated_anthology,FALSE,duet,duet-it,translations/duet-it,Duetto di Punti,Est-Ovest Poeti in Simpatia: Diallogo Poetico,Duetto di Punti: Est-Ovest Poeti in Simpatia: Diallogo Poetico,Narlan Matos; Maki Starfield,2020,Italian Edition,JUNPA Books,,,,,,93,978-1071551486,,,eBook,,Portuguese; Japanese,Italian,,Carlotta Cutrale,Mariko Sumikura,,,James Spitzer,https://www.amazon.com/Duetto-Punti-Italian-Maki-Starfield-ebook/dp/B08BZ4ZJCZ/ref=sr_1_6,,https://www.amazon.com/Duetto-Punti-Italian-Maki-Starfield-ebook/dp/B08BZ4ZJCZ/ref=sr_1_6,,,/assets/images/translations/duet-it.jpg,,
21,translations,translated_anthology,FALSE,duet,duet-fr,translations/duet-fr,Duo de Points,Une Affinite Parmi Les Poetes d'Occident et d'Orient: Le Dialogue Poetique,Duo de Points: Une Affinite Parmi Les Poetes d'Occident et d'Orient: Le Dialogue Poetique,Narlan Matos; Maki Starfield,2021,French Edition,JUNPA Books,,,,,,,,,,eBook,,Portuguese; Japanese,French,,Félix LAI,Mariko Sumikura,,,James Spitzer,,,https://books.apple.com/fr/book/duo-de-points/id1578654296,,,/assets/images/translations/duet-fr.jpg,,
22,translations,translated_book,TRUE,canto,canto-ro,translations/canto-ro,Eu Cânt Pentru Oameni de Bine,,Eu Cânt Pentru Oameni de Bine,Narlan Matos,2023,,EIKON,,,,,,232,978-6064909404,,,,canto,Portuguese,Romanian,,Ana Vrǎjitoru,,,,,,https://www.librariaeikon.ro/poezie/1584-eu-cant-pentru-oameni-de-bine-canto-aos-homens-de-boa-vontade.html,,,,/assets/images/translations/canto-ro.jpg,/assets/images/translations/canto-ro-back.jpg;/assets/images/translations/canto-ro-front-flap.jpg;/assets/images/translations/canto-ro-back-flap.jpg,
23,translations,translated_book,FALSE,caminheiros,caminheiros-ru,translations/caminheiros-ru,я И Ты -ПУТНИКИ В ЭТОЙ ЖИЗНИ,,я И Ты -ПУТНИКИ В ЭТОЙ ЖИЗНИ,Narlan Matos,2023,Russian Edition,,,,,,,,978-5604732496,,,paperback,caminheiros,Portuguese,Russian,,Irina Feshchenko-Skvortsova,,,,,,,,,,/assets/images/translations/caminheiros-ru.jpg,,
24,translations,translated_anthology,FALSE,como-nacen,como-nacen,translations/como-nacen,Cómo nacen las estrellas,,Cómo nacen las estrellas,Narlan Matos,2024,,Valparaíso Ediciones,,,,,,,978-8410073845,,,,,Portuguese,Spanish,,Lily Martínez Evangelista; Alisson Dias Bezerra; José Miguel Lemus; M. Emilia Barbosa; Maritza Salgueiro-Carlisle,,,,,,https://valparaisoediciones.es/tienda/poesia/901-446-como-nacen-las-estrellas.html,https://www.amazon.com/C%C3%B3mo-nacen-estrellas-Narlan-Matos/dp/8410073846,,,/assets/images/translations/como-nacen.jpg,,
25,periodicals,literary_journal,TRUE,2018-interim,2018-interim,https://www.interimpoetics.org/35-4/narlan-matos-trans-jose-f-banuelos-montes-sally-perret,"Narlan Matos, trans. José F. Bañuelos-Montes and Sally Perret",10 Poems,,Narlan Matos; José F. Bañuelos-Montes; Sally Perret,2018,,Interim,,,,,,,,,,,elegia,Portuguese,English,English,José F. Bañuelos-Montes; Sally Perret,,,,,https://www.interimpoetics.org/35-4/narlan-matos-trans-jose-f-banuelos-montes-sally-perret,,,,,,,
26,periodicals,literary_journal,TRUE,2018-esla,2018-esla,https://letras.uc.cl/wp-content/uploads/2023/01/esla-issue14-fictionNARLAN.pdf,Selected Poems,,,Narlan Matos; José F. Bañuelos-Montes; Sally Perret,2018,,English Studies in Latin America,14,,,,,,0719-9139,0719-9139,,,elegia,Portuguese,English,English,José F. Bañuelos-Montes; Sally Perret,,,,,https://letras.uc.cl/wp-content/uploads/2023/01/esla-issue14-fictionNARLAN.pdf,,,Archived Copy,assests/docs/publications/esla-issue14-fictionNARLAN.pdf,,,
27,periodicals,literary_journal,FALSE,2022-tupelo,2022-tupelo,https://www.tupeloquarterly.com/translation/narlan-matos-genesis-translated-from-portuguese-by-jose-f-banuelos-montes-sally-perret/,Genesis,,,Narlan Matos; José F. Bañuelos-Montes; Sally Perret,2022,,Tupelo Quarterly,,,,,,,,,,,,Portuguese,English,English,José F. Bañuelos-Montes; Sally Perret,,,,,https://www.tupeloquarterly.com/translation/narlan-matos-genesis-translated-from-portuguese-by-jose-f-banuelos-montes-sally-perret/,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archived Copy,assests/docs/publications/Narlan Matos - Genesis - translated by José F. Bañuelos-Montes & Sally Perret - Tupelo Quarterly.pdf,,,
